ID,score,COLPREP,DIS_COH,LOGDTA,LOGDTU,NSQG,NSQM,NSQU,NWF_MEDIAN,SVF,WORDLN_2
174,1,0.556622222,0.05002501,3.360375387,1.609437912,-0.206427514,-0.11785113,-0.144337567,-66.21806227,3.35852289,4.486111111
175,2,0.641843213,-1.317528153,5.895779297,0.693147181,-0.083834772,-0.165862342,-0.037087947,-67.44606704,3.399167713,4.064649243
176,3,0.5698,-0.15570393,3.744968921,2.564949357,-0.139798098,-0.159544807,-0.112815215,-57.11896791,4.583574857,4.963636364
177,1,0.561908505,-0.389752455,2.965273066,1.609437912,-0.254850377,-0.227038305,0,-60.64090215,2.987157605,5.12371134
178,2,0.57728352,0.040236268,3.616308761,2.302585093,-0.158240663,-0.115934724,0,-57.62763481,4.137633162,4.981182796
179,2,0.581293762,0.525797557,3.542166325,3.17805383,-0.160935391,-0.208388613,-0.098235334,-56.81215044,4.009047839,5.006031363
180,1,0.673807384,0.453765264,3.390024081,1.098612289,-0.19244769,-0.237022732,-0.105999788,-57.35986031,2.087511819,5.134831461
181,1,0.562263083,-0.08176194,3.921973336,0.693147181,-0.201301904,-0.099503719,0,-64.30160855,2.366749051,4.207920792
182,3,0.663110688,0.229971001,4.083171262,2.197224577,-0.147610125,-0.061199006,0,-55.51715817,3.427639359,5.073033708
183,3,0.59858025,-1.729700613,4.360973225,2.48490665,-0.120399767,-0.092253121,-0.092253121,-61.91009283,4.266859777,4.443617021
184,3,0.684378066,0.390665486,4.566948973,1.386294361,-0.143839129,-0.101929438,-0.072074997,-57.71715473,3.80382432,4.919480519
185,2,0.459414141,-0.560621401,3.583518938,2.302585093,-0.124622734,-0.129099445,-0.105409255,-67.89197585,2.890355809,3.988888889
186,3,0.577695489,-1.146153222,4.353855758,2.197224577,-0.127283191,-0.1,-0.065465367,-67.44606704,3.38512908,3.938571429
187,1,0.70685907,0.256760469,4.753590191,1.098612289,-0.135950809,-0.177789751,-0.131306433,-56.23192999,2.96452454,4.738505747
188,2,0.806945022,0.148456006,3.650658241,1.791759469,-0.136723709,-0.065795169,0,-60.64090215,3.104025571,4.683982684
189,3,0.519885709,-0.207769116,4.069026754,2.079441542,-0.136254359,-0.080064077,-0.046225016,-63.51046403,3.014926578,4.594017094
190,3,0.58127853,-0.840635437,4.674696249,1.609437912,-0.140029843,-0.096583426,-0.086386843,-62.49070432,3.996307277,4.673507463
191,2,0.587875,-1.364238682,3.33220451,1.098612289,-0.202010346,-0.3086067,-0.109108945,-67.61072132,2.304814546,4.011904762
192,2,0.727079295,0.23515879,3.815512105,1.609437912,-0.158723781,0,0,-59.57359487,3.266850308,4.810572687
193,2,0.509324231,-0.818965636,4.357776632,2.48490665,-0.130667206,-0.142399021,-0.103307108,-61.6122701,4.403371828,4.566702241
194,1,0.482644984,-0.055939766,3.814961293,2.079441542,-0.180372454,-0.181818182,-0.148453924,-67.93594937,3.304248401,3.515151515
195,4,0.685010217,-0.729903204,3.879844107,2.48490665,-0.129260653,-0.11734293,-0.058671465,-66.23179925,3.743841047,4.409638554
196,3,0.516542125,-0.237978538,3.737669618,1.945910149,-0.14308955,-0.058321184,-0.08247861,-65.77012577,3.316179653,4.353741497
197,2,0.558463515,-0.247201533,3.89436807,2.079441542,-0.14390091,-0.123560413,-0.087370406,-60.15432301,3.040960277,4.748091603
198,3,0.637800386,-0.346051324,4.378896742,2.48490665,-0.141573308,-0.140903192,-0.055989251,-57.19679009,4.381215806,5.171368861
199,2,0.511669163,0.012347034,3.811097087,1.609437912,-0.169450436,-0.297482059,-0.094072087,-63.92153733,2.607348322,4.747787611
200,2,0.591270144,-0.22969037,3.811097087,1.609437912,-0.140114519,-0.188144174,-0.115214306,-55.28452041,3.407001882,5.14159292
201,1,0.332666667,-1.10034316,3.106080331,1.098612289,-0.223536601,-0.122169444,0,-66.46240451,2.433460775,4.388059701
202,2,0.639114153,-0.463980889,3.713572067,2.708050201,-0.129323328,-0.127515343,-0.06984303,-62.47712048,4.079619465,4.417886179
